servicer_from,servicer_to,n_loans,total_upb,transition_month,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
"PLATINUM MORTGAGE, INC.","PINGORA LOAN SERVICING, LLC",1,171000.0,201908,0.030303030303030304,0.02459016393442623,0.00001747243723026925,4.195263002732535e-6
"UNITED SHORE FINANCIAL SERVICES, LLC",NEW RESIDENTIAL MORTGAGE LLC,5169,1464898234.74,201909,0.11879481522338665,0.08268643715575293,0.0825613340148224,0.014498373122861589
"GUIDANCE RESIDENTIAL, LLC",GUIDANCE RESIDENTIAL,1431,383438264.81,201909,0.9875776397515528,0.19694946966974516,0.8811576354679803,0.19379390439374394
"THE MONEY SOURCE, INC.",THE MONEY SOURCE INC.,957,249137073.36,201909,0.9647177419354839,0.4990447391968589,0.98659793814433,0.5108412963077598
NATIONSTAR MORTGAGE LLC,"PINGORA LOAN SERVICING, LLC",722,141026557.32,201909,0.051457486993086735,0.003035386246653368,0.011014156700024409,0.003306006830454382
HOMESTREET BANK,NEW RESIDENTIAL MORTGAGE LLC,668,182513327.88,201909,0.3819325328759291,0.04713449826791755,0.010669562995144391,0.0018063687051743035
MUTUALBANK,MUTUAL BANK,336,42255655.41,201909,0.9940828402366864,0.1247132639058104,0.8549618320610687,0.12284821630747389
"MEMBER FIRST MORTGAGE, LLC DBA MICHIGAN FIRST MORTGAGE","MEMBER FIRST MORTGAGE, LLC",326,45064952.15,201909,0.9939024390243902,0.06450898897632534,0.8956043956043956,0.06462553350020434
FIRST BANK & TRUST COMPANY,FIRST BANK AND TRUST COMPANY,246,44034672.41,201909,0.9919354838709677,0.09754903602949339,0.8601398601398601,0.09726286133666968
"COMMERCE BANK, N.A.",COMMERCE BANK,225,37329772.35,201909,0.995575221238938,0.1743869840481852,0.9183673469387755,0.17334249208455588
STANDARD MORTGAGE CORPORATION,STANDARD MORTGAGE CORP.,217,47154490.88,201909,0.9954128440366973,0.04812642878204383,0.9730941704035875,0.04862651684211181
ALABAMA HOUSING FINANCE AUTHORITY,ALABAMA HOUSING FINANCE,210,28662616.11,201909,1.0,1.0,0.6907894736842105,0.6877715690132604
BAR HARBOR BANK & TRUST,BAR HARBOR BANK AND TRUST,167,30133646.51,201909,1.0,0.06684994835295069,0.8477157360406091,0.06639107867535585
THE PEOPLES COMMUNITY BANK,PEOPLES COMMUNITY BANK,125,22563483.48,201909,1.0,0.10183953867920288,0.8223684210526315,0.10157560187822316
BANK FIRST NATIONAL CORPORATION,"BANK FIRST, NATIONAL ASSOCIATION",113,20974226.88,201909,0.9912280701754386,0.09344095219588622,0.9416666666666667,0.09380731030083865
"HARBORONE MORTGAGE, LLC",HARBORONE MORTGAGE,112,17624411.09,201909,0.9911504424778761,0.041033116871768895,0.8615384615384616,0.0411594874596447
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION","PNC BANK, NATIONAL ASSOCIATION",100,25726716.35,201909,0.18083182640144665,0.056092112636926456,0.00572967398155045,0.0005919436626635012
COMMONWEALTH BANK & TRUST COMPANY,COMMONWEALTH BANK AND TRUST COMPANY,95,16068991.46,201909,0.9895833333333334,0.13514868793635765,0.9134615384615384,0.1357239255962004
FIRST NATIONAL BANK IN STAUNTON,FIRST NATIONAL BANK OF STAUNTON,92,11858154.08,201909,0.9292929292929293,0.07271003079207064,0.8440366972477065,0.07277664100773669
"ASSURANCE FINANCIAL GROUP, LLC",ASSURANCE FINANCIAL,90,14634858.17,201909,1.0,0.1661119191356878,0.9473684210526315,0.16462391204170929
NATIONAL BANK,"BANK OF HILLSBORO, N.A",89,11138205.99,201909,0.9888888888888889,0.08639471816300677,0.8090909090909091,0.08444196991104502
MORTGAGE ACCESS CORP,"LAKEVIEW LOAN SERVICING, LLC",89,24503848.93,201909,0.37083333333333335,0.07632907047657002,0.007130838875090137,0.0010013630610510808
"NORTH SHORE BANK, FSB",NORTH SHORE BANK FSB,84,12666534.77,201909,1.0,0.04485584266825134,0.7777777777777778,0.04473186058830791
"CALLAWAY SECURITY BANKS, INC.",CALLAWAY BANK,74,13158853.77,201909,0.9866666666666667,0.10737729987139343,0.8505747126436781,0.1078049469293857
MIDWEST AMERICA FEDERAL CREDIT UNION,MIDWEST AMERICA FEDERAL CREDIT,66,7364830.35,201909,0.9850746268656716,0.11609432949758855,0.9705882352941176,0.11651825738991772
"FLAT BRANCH MORTGAGE, INC.",FLAT BRANCH MORTGAGE INC,66,11399132.79,201909,1.0,0.3118491422691893,0.7857142857142857,0.2915289723328538
"WEST END BANK, S.B.",WEST END BANK,65,6093010.11,201909,1.0,0.08977294600838195,0.8333333333333334,0.08821858498019752
NATIONSTAR MORTGAGE LLC,MATRIX FINANCIAL SERVICE CORP,64,17666591.16,201909,0.004561328486921816,0.00038017120077808876,0.0028301052445387814,0.00036179056264194596
"MERIWEST MORTGAGE COMPANY, LLC",MERIWEST MORTGAGE,51,20717027.0,201909,1.0,0.16116959762995461,0.864406779661017,0.1593988256926005
"STEARNS LENDING, LLC.","LAKEVIEW LOAN SERVICING, LLC",46,8625637.9,201909,0.05088495575221239,0.03277531775112681,0.003685602115215127,0.0003524913655702258
"BANK OF AMERICAN FORK, A DIVISION OF PEOPLE'S INTERMOUNTAIN",PEOPLE'S INTERMOUNTAIN BANK,40,4695115.81,201909,0.9523809523809523,0.06259882340132715,0.7407407407407407,0.06211054181617919
PROVIDENT CREDIT UNION,PROVIDENT CENTRAL CREDIT UNION,34,14805496.31,201909,1.0,0.06359550183585999,0.85,0.06364901027680851
WATERSTONE MORTGAGE CORPORATION,WATERSTONE MORTGAGE CORP.,33,5158847.109999999,201909,0.9428571428571428,0.9106433103033497,1.0,0.9357791710040171
AMERICAN PORTFOLIO MORTGAGE CORPORATION,AMERICAN PORTFOLIO MORTGAGE CORP,29,4876360.39,201909,0.9666666666666667,0.05788673252093475,0.8285714285714286,0.058636279811897965
"SECURITY BANK, S.B.","SECURITY BANK, SB",28,4278359.9,201909,0.9333333333333333,0.05349963959703523,0.875,0.054406927506122346
"BANKPACIFIC, LTD.",BANKPACIFIC,27,6764385.29,201909,1.0,0.05032122680885549,0.9310344827586207,0.050144556215797616
"360 MORTGAGE GROUP, LLC",360 MORTGAGE GROUP,26,4610771.89,201909,1.0,1.0,1.0,1.0
VANDYK MORTGAGE CORPORATION,VAN DYK MORTGAGE CORPORATION,22,3715904.59,201909,0.9565217391304348,0.7707357776744862,0.9565217391304348,0.7942607989806182
"RESIDENTIAL WHOLESALE MORTGAGE, INC.",RESIDENTIAL WHOLESALE MORTGAGE INC,20,9643536.32,201909,1.0,0.35670376506882867,0.9090909090909091,0.3565880239402362
"MORTGAGE SOLUTIONS OF COLORADO, LLC","MORTGAGE SOLUTIONS OF CO, LLC",20,4153225.56,201909,0.9523809523809523,0.08379326748340728,0.9523809523809523,0.08659401943936829
DUBUQUE BANK AND TRUST COMPANY,"PNC BANK, NATIONAL ASSOCIATION",20,4271302.04,201909,1.0,0.020975416767352723,0.00114593479631009,0.00009827799784093645
"VITEK REAL ESTATE INDUSTRIES GROUP, INC.",GUILD MORTGAGE COMPANY,19,4750004.83,201909,0.95,0.05141014945799003,0.0019099316445516687,0.0004906108151463176
EQUITABLE SAVINGS & LOAN ASSOCIATION,EQUITABLE SAVINGS AND LOAN ASSOCIATION,14,2465728.54,201909,1.0,0.07553683917317282,0.875,0.07550389119728902
"RESIDENTIAL MORTGAGE SERVICES, INC.",RESIDENTIAL MORTGAGE SERVICES,9,1777099.56,201909,1.0,0.05206107968655506,0.15789473684210525,0.04044147744630574
"PINGORA LOAN SERVICING, LLC","LOANDEPOT.COM, LLC",8,2735298.24,201909,0.000139779497842154,0.00006718719537897176,0.000680387821058003,0.0006037877701350458
PEOPLES BANK SB,"PEOPLES BANK, SB",8,747381.88,201909,1.0,0.02654838653115435,1.0,0.026712444485894892
"NETWORK FUNDING, L.P.",NETWORK FUNDING LP,7,1486584.3,201909,1.0,0.018149302647480672,1.0,0.01830709318384151
"FIRST FEDERAL BANK, FSB","FIRST FEDERAL BANK, A FSB",6,1047556.15,201909,1.0,0.02302093656489184,1.0,0.023553687942327744
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",NEWREZ LLC,5,930181.21,201909,0.00003345264777707156,5.668040584128727e-6,0.09433962264150944,0.0027381194224072986
"PROVIDENT SAVINGS BANK, FSB","PROVIDENT SAVINGS BANK, F.S.B.",5,938987.24,201909,1.0,0.08857509084812426,1.0,0.08865955682894693
NICOLLET COUNTY BANK OF ST. PETER,NICOLLET COUNTY BANK,5,893186.1,201909,0.8333333333333334,0.03681949748790255,1.0,0.03741744699651528
SUNTRUST BANK,"SPECIALIZED LOAN SERVICING, LLC",5,1377959.72,201909,0.00024640252316183715,0.00003686299609363232,0.0016260162601626016,0.00011695801175859392
MUNICIPAL TRUST AND SAVINGS BANK,MUNICIPAL TRUST & SAVINGS BANK,4,659741.02,201909,1.0,0.4000421304412003,0.6666666666666666,0.36428826289868155
ETHOS LENDING LLC,FIDELITY BANK,3,1605205.3199999998,201909,0.75,0.17305231529620432,0.05454545454545454,0.003625793423008925
FLORIDA CAPITAL BANK NA,"FLORIDA CAPITAL BANK, N.A.",3,474007.44,201909,1.0,0.004558455575149066,0.5,0.004615565566084519
VILLAGE MORTGAGE COMPANY,"SIWELL INC., DBA CAPITAL MORTGAGE SERVICES OF TEXAS",3,976866.49,201909,1.0,0.015530435487799235,0.02564102564102564,0.0016931496796480296
